Date,Open,High,Low,Close,Adj Close,Volume
2018-09-11,170.600006,171.600006,170.000000,171.029999,170.577362,14078400
2018-09-12,170.789993,171.089996,169.330002,170.619995,170.168442,21572300
2018-09-13,171.279999,171.539993,170.259995,170.660004,170.208344,14570500
2018-09-14,170.770004,171.929993,170.399994,171.380005,170.926437,15734900
2018-09-17,171.419998,171.539993,169.350006,169.559998,169.111252,20023200
2018-09-18,169.800003,170.710007,169.630005,170.270004,169.819366,13018000
2018-09-19,170.279999,171.070007,169.070007,169.649994,169.201004,17593500
2018-09-20,170.369995,171.300003,169.809998,171.220001,170.766861,16918700
2018-09-21,171.750000,171.820007,170.220001,170.399994,169.949020,32539000
2018-09-24,170.259995,170.500000,168.759995,169.770004,169.320694,15786700
2018-09-25,170.050003,170.520004,169.850006,170.029999,169.580002,13758500
2018-09-26,169.929993,170.029999,167.779999,168.029999,168.029999,17787200
2018-09-27,168.369995,168.699997,167.759995,168.039993,168.039993,14471900
2018-09-28,167.449997,169.000000,167.449997,168.550003,168.550003,22740300
2018-10-01,169.289993,169.320007,165.770004,166.330002,166.330002,27893100
2018-10-02,166.179993,166.529999,164.179993,164.529999,164.529999,28440300
2018-10-03,165.179993,166.729996,164.509995,165.970001,165.970001,26027200
2018-10-04,165.440002,165.649994,163.130005,163.639999,163.639999,29463000
2018-10-05,163.750000,164.160004,160.660004,162.160004,162.160004,31240100
2018-10-08,161.770004,162.399994,160.550003,161.820007,161.820007,21330700
2018-10-09,161.619995,162.740005,160.979996,161.190002,161.190002,20620400
2018-10-10,160.820007,160.990005,156.360001,156.559998,156.559998,44372200
