type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,8192,4500,4500,688,1
MutexBased,8192,4500,4500,799,0
MutexBased,256,5000,5000,1173,1
MutexBased,256,5000,2464,628,0
MutexBased,512,5000,5000,860,1
MutexBased,512,5000,4904,793,0
MutexBased,1024,5000,5000,995,1
MutexBased,1024,5000,5000,1101,0
MutexBased,2048,5000,4608,894,1
MutexBased,2048,5000,5392,1219,0
MutexBased,4096,5000,5000,778,1
MutexBased,4096,5000,5000,680,0
MutexBased,8192,5000,5000,741,1
MutexBased,8192,5000,5000,813,0
MutexBased,256,10000,10000,2554,1
MutexBased,256,10000,7747,1911,0
MutexBased,512,10000,10000,1740,1
MutexBased,512,10000,8745,2084,0
MutexBased,1024,10000,10000,2178,1
MutexBased,1024,10000,5476,1513,0
MutexBased,2048,10000,10000,1416,1
MutexBased,2048,10000,10000,1895,0
MutexBased,4096,10000,10000,1151,1
MutexBased,4096,10000,10000,1970,0
MutexBased,8192,10000,10000,1594,1
MutexBased,8192,10000,10000,1527,0
MutexBased,256,15000,15000,2628,1
MutexBased,256,15000,12744,2096,0
MutexBased,512,15000,15000,2400,1
MutexBased,512,15000,14886,2740,0
MutexBased,1024,15000,15000,2496,1
MutexBased,1024,15000,15000,2511,0
MutexBased,2048,15000,15000,2555,1
MutexBased,2048,15000,12458,2023,0
MutexBased,4096,15000,15000,2211,1
MutexBased,4096,15000,11648,1719,0
MutexBased,8192,15000,15000,1524,1
MutexBased,8192,15000,15000,1960,0
MutexBased,256,20000,20000,3765,1
MutexBased,256,20000,17199,3167,0
MutexBased,512,20000,20000,4798,1
MutexBased,512,20000,11959,2071,0
MutexBased,1024,20000,20000,3028,1
MutexBased,1024,20000,20000,3193,0
MutexBased,2048,20000,20000,2855,1
MutexBased,2048,20000,15845,2765,0
MutexBased,4096,20000,20000,2693,1
MutexBased,4096,20000,18766,2754,0
MutexBased,8192,20000,20000,2404,1
MutexBased,8192,20000,20000,3028,0
MutexBased,256,25000,25000,4544,1
MutexBased,256,25000,12409,2728,0
MutexBased,512,25000,25000,4104,1
MutexBased,512,25000,22755,4009,0
MutexBased,1024,25000,25000,3901,1
MutexBased,1024,25000,18023,3427,0
MutexBased,2048,25000,25000,3657,1
MutexBased,2048,25000,24935,4076,0
MutexBased,4096,25000,25000,3488,1
MutexBased,4096,25000,21459,2837,0
MutexBased,8192,25000,25000,4808,1
MutexBased,8192,25000,25000,3373,0
MutexBased,256,30000,30000,5236,1
MutexBased,256,30000,20396,3661,0
MutexBased,512,30000,30000,6063,1
MutexBased,512,30000,18586,3462,0
MutexBased,1024,30000,30000,6258,1
MutexBased,1024,30000,15061,3092,0
MutexBased,2048,30000,30000,5491,1
MutexBased,2048,30000,26351,4426,0
MutexBased,4096,30000,30000,4606,1
MutexBased,4096,30000,30000,4565,0
MutexBased,8192,30000,30000,3822,1
MutexBased,8192,30000,30000,4087,0
MutexBased,256,35000,35000,5382,1
MutexBased,256,35000,25751,4696,0
MutexBased,512,35000,35000,6528,1
MutexBased,512,35000,31356,4746,0
MutexBased,1024,35000,35000,5729,1
MutexBased,1024,35000,24677,4161,0
MutexBased,2048,35000,35000,5206,1
MutexBased,2048,35000,35000,5869,0
