type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,8192,4500,4500,1338,1
MutexBased,8192,4500,4500,1163,0
MutexBased,256,5000,5000,1496,1
MutexBased,256,5000,2264,646,0
MutexBased,512,5000,5000,1186,1
MutexBased,512,5000,2140,702,0
MutexBased,1024,5000,5000,1833,1
MutexBased,1024,5000,4603,1420,0
MutexBased,2048,5000,5000,1194,1
MutexBased,2048,5000,5000,1203,0
MutexBased,4096,5000,5000,776,1
MutexBased,4096,5000,5000,1476,0
MutexBased,8192,5000,5000,849,1
MutexBased,8192,5000,5000,543,0
MutexBased,256,10000,10000,2215,1
MutexBased,256,10000,7266,1542,0
MutexBased,512,10000,10000,1673,1
MutexBased,512,10000,511,262,0
MutexBased,1024,10000,10000,1871,1
MutexBased,1024,10000,7832,1248,0
MutexBased,2048,10000,10000,1887,1
MutexBased,2048,10000,10000,1982,0
MutexBased,4096,10000,10000,1648,1
MutexBased,4096,10000,10000,1624,0
MutexBased,8192,10000,10000,1284,1
MutexBased,8192,10000,10000,1828,0
MutexBased,256,15000,15000,2849,1
MutexBased,256,15000,3638,896,0
MutexBased,512,15000,15000,2514,1
MutexBased,512,15000,14107,2398,0
MutexBased,1024,15000,15000,2860,1
MutexBased,1024,15000,13204,2197,0
MutexBased,2048,15000,15000,2484,1
MutexBased,2048,15000,15000,2828,0
MutexBased,4096,15000,15000,2297,1
MutexBased,4096,15000,15000,2937,0
MutexBased,8192,15000,15000,2153,1
MutexBased,8192,15000,14898,2286,0
MutexBased,256,20000,20000,3606,1
MutexBased,256,20000,16692,3287,0
MutexBased,512,20000,20000,3072,1
MutexBased,512,20000,7886,1560,0
MutexBased,1024,20000,20000,2928,1
MutexBased,1024,20000,11842,1853,0
MutexBased,2048,20000,20000,3718,1
MutexBased,2048,20000,20000,3657,0
MutexBased,4096,20000,20000,3010,1
MutexBased,4096,20000,16751,2125,0
MutexBased,8192,20000,20000,2238,1
MutexBased,8192,20000,20000,2342,0
MutexBased,256,25000,25000,5114,1
MutexBased,256,25000,19138,3626,0
MutexBased,512,25000,25000,3905,1
MutexBased,512,25000,23883,4574,0
MutexBased,1024,25000,25000,4666,1
MutexBased,1024,25000,24044,3607,0
MutexBased,2048,25000,25000,3721,1
MutexBased,2048,25000,24650,3493,0
MutexBased,4096,25000,25000,3660,1
MutexBased,4096,25000,11889,1941,0
MutexBased,8192,25000,25000,3599,1
MutexBased,8192,25000,25000,3627,0
MutexBased,256,30000,30000,5152,1
MutexBased,256,30000,21172,4571,0
MutexBased,512,30000,30000,4927,1
MutexBased,512,30000,16139,3153,0
MutexBased,1024,30000,30000,4222,1
MutexBased,1024,30000,26511,4705,0
MutexBased,2048,30000,30000,4170,1
MutexBased,2048,30000,30000,4567,0
MutexBased,4096,30000,30000,3994,1
MutexBased,4096,30000,22562,3066,0
MutexBased,8192,30000,30000,3911,1
MutexBased,8192,30000,23979,2525,0
MutexBased,256,35000,35000,5901,1
MutexBased,256,35000,17617,3113,0
MutexBased,512,35000,35000,6900,1
MutexBased,512,35000,25956,4323,0
MutexBased,1024,35000,35000,5519,1
MutexBased,1024,35000,19067,2991,0
MutexBased,2048,35000,35000,5567,1
MutexBased,2048,35000,33131,5207,0
MutexBased,4096,35000,35000,5581,1
MutexBased,4096,35000,29952,5235,0
MutexBased,8192,35000,35000,4321,1
MutexBased,8192,35000,35000,4497,0
MutexBased,256,40000,40000,8593,1
MutexBased,256,40000,31051,5505,0
MutexBased,512,40000,40000,6302,1
MutexBased,512,40000,33002,6121,0
MutexBased,1024,40000,40000,6234,1
MutexBased,1024,40000,39706,5652,0
MutexBased,2048,40000,40000,6091,1
MutexBased,2048,40000,39516,5990,0
MutexBased,4096,40000,40000,6373,1
MutexBased,4096,40000,31488,4185,0
MutexBased,8192,40000,40000,4933,1
MutexBased,8192,40000,40000,5679,0
MutexBased,256,45000,45000,8636,1
MutexBased,256,45000,26150,4667,0
MutexBased,512,45000,45000,6889,1
MutexBased,512,45000,25497,4814,0
MutexBased,1024,45000,45000,7324,1
MutexBased,1024,45000,36629,5348,0
MutexBased,2048,45000,45000,7601,1
MutexBased,2048,45000,37564,5815,0
MutexBased,4096,45000,45000,7157,1
MutexBased,4096,45000,36554,5023,0
MutexBased,8192,45000,45000,5578,1
MutexBased,8192,45000,44503,5801,0
MutexBased,256,50000,50000,10230,1
MutexBased,256,50000,24886,4591,0
MutexBased,512,50000,50000,8724,1
MutexBased,512,50000,47881,7431,0
MutexBased,1024,50000,50000,8859,1
MutexBased,1024,50000,38519,5659,0
MutexBased,2048,50000,50000,7152,1
MutexBased,2048,50000,41165,6086,0
MutexBased,4096,50000,50000,7541,1
MutexBased,4096,50000,38104,5206,0
MutexBased,8192,50000,50000,6970,1
MutexBased,8192,50000,46369,6344,0
MutexBased,256,100000,100000,18974,1
MutexBased,256,100000,37722,7553,0
MutexBased,512,100000,100000,16829,1
MutexBased,512,100000,69061,11255,0
MutexBased,1024,100000,100000,15277,1
MutexBased,1024,100000,91437,13449,0
MutexBased,2048,100000,100000,14675,1
MutexBased,2048,100000,61337,9039,0
MutexBased,4096,100000,100000,14649,1
MutexBased,4096,100000,68748,10083,0
MutexBased,8192,100000,100000,14752,1
MutexBased,8192,100000,96512,13470,0
MutexBased,256,150000,150000,28324,1
MutexBased,256,150000,103408,18060,0
MutexBased,512,150000,150000,24645,1
MutexBased,512,150000,55732,11017,0
MutexBased,1024,150000,150000,25369,1
MutexBased,1024,150000,106984,16951,0
MutexBased,2048,150000,150000,22128,1
MutexBased,2048,150000,107455,15869,0
MutexBased,4096,150000,150000,21769,1
MutexBased,4096,150000,137596,18537,0
MutexBased,8192,150000,150000,21251,1
MutexBased,8192,150000,116254,14357,0
MutexBased,256,200000,200000,37883,1
MutexBased,256,200000,111776,20994,0
MutexBased,512,200000,200000,35967,1
MutexBased,512,200000,150793,24612,0
MutexBased,1024,200000,200000,30397,1
MutexBased,1024,200000,108693,17848,0
MutexBased,2048,200000,200000,31317,1
MutexBased,2048,200000,130999,21118,0
MutexBased,4096,200000,200000,28841,1
MutexBased,4096,200000,185576,26847,0
MutexBased,8192,200000,200000,28632,1
MutexBased,8192,200000,167475,22159,0
MutexBased,256,250000,250000,42831,1
MutexBased,256,250000,147445,27370,0
MutexBased,512,250000,250000,43293,1
MutexBased,512,250000,158194,25578,0
MutexBased,1024,250000,250000,36083,1
MutexBased,1024,250000,169508,24835,0
MutexBased,2048,250000,250000,38064,1
MutexBased,2048,250000,178202,26872,0
MutexBased,4096,250000,250000,36957,1
MutexBased,4096,250000,225454,33299,0
MutexBased,8192,250000,250000,33708,1
MutexBased,8192,250000,224109,33072,0
MutexBased,256,300000,300000,52528,1
MutexBased,256,300000,172080,30639,0
MutexBased,512,300000,300000,48594,1
MutexBased,512,300000,223147,38631,0
MutexBased,1024,300000,300000,45185,1
MutexBased,1024,300000,213922,32124,0
MutexBased,2048,300000,300000,46666,1
MutexBased,2048,300000,173071,27425,0
MutexBased,4096,300000,300000,43562,1
MutexBased,4096,300000,222801,30596,0
MutexBased,8192,300000,300000,42755,1
MutexBased,8192,300000,273392,40038,0
MutexBased,256,350000,350000,62405,1
MutexBased,256,350000,218937,39168,0
MutexBased,512,350000,350000,57778,1
MutexBased,512,350000,176637,31530,0
MutexBased,1024,350000,350000,59173,1
MutexBased,1024,350000,247596,36998,0
MutexBased,2048,350000,350000,64357,1
MutexBased,2048,350000,227254,41065,0
MutexBased,4096,350000,350000,53513,1
MutexBased,4096,350000,263983,42724,0
MutexBased,8192,350000,350000,47982,1
MutexBased,8192,350000,314294,46088,0
MutexBased,256,400000,400000,74934,1
MutexBased,256,400000,258126,49541,0
MutexBased,512,400000,400000,71257,1
MutexBased,512,400000,228280,41392,0
MutexBased,1024,400000,400000,96313,1
MutexBased,1024,400000,299987,49321,0
MutexBased,2048,400000,400000,65291,1
MutexBased,2048,400000,285480,48764,0
MutexBased,4096,400000,400000,59389,1
MutexBased,4096,400000,351112,51838,0
MutexBased,8192,400000,400000,56704,1
MutexBased,8192,400000,346325,50331,0
MutexBased,256,450000,450000,82576,1
MutexBased,256,450000,287161,55201,0
MutexBased,512,450000,450000,78237,1
MutexBased,512,450000,244503,41158,0
MutexBased,1024,450000,450000,70345,1
MutexBased,1024,450000,278943,48012,0
MutexBased,2048,450000,450000,79479,1
MutexBased,2048,450000,316179,49503,0
MutexBased,4096,450000,450000,70474,1
MutexBased,4096,450000,350131,50955,0
MutexBased,8192,450000,450000,64661,1
MutexBased,8192,450000,400630,53468,0
MutexBased,256,500000,500000,94322,1
MutexBased,256,500000,267718,53312,0
MutexBased,512,500000,500000,89036,1
MutexBased,512,500000,257186,48497,0
MutexBased,1024,500000,500000,77992,1
MutexBased,1024,500000,330489,55555,0
MutexBased,2048,500000,500000,84027,1
MutexBased,2048,500000,367994,60871,0
MutexBased,4096,500000,500000,75338,1
MutexBased,4096,500000,385428,57327,0
MutexBased,8192,500000,500000,68971,1
MutexBased,8192,500000,416994,58398,0
MutexBased,256,1000000,1000000,192341,1
MutexBased,256,1000000,637405,120359,0
MutexBased,512,1000000,1000000,183741,1
MutexBased,512,1000000,627326,110885,0
MutexBased,1024,1000000,1000000,155673,1
MutexBased,1024,1000000,719513,111679,0
MutexBased,2048,1000000,1000000,156959,1
MutexBased,2048,1000000,682409,118282,0
MutexBased,4096,1000000,1000000,154335,1
MutexBased,4096,1000000,871756,136385,0
MutexBased,8192,1000000,1000000,144955,1
MutexBased,8192,1000000,816887,114840,0
MutexBased,256,1100000,1100000,203402,1
MutexBased,256,1100000,594949,115166,0
MutexBased,512,1100000,1100000,193853,1
MutexBased,512,1100000,739315,127739,0
MutexBased,1024,1100000,1100000,171849,1
MutexBased,1024,1100000,820526,126083,0
MutexBased,2048,1100000,1100000,173465,1
MutexBased,2048,1100000,756084,121829,0
MutexBased,4096,1100000,1100000,167992,1
MutexBased,4096,1100000,844492,130631,0
MutexBased,8192,1100000,1100000,160312,1
MutexBased,8192,1100000,945277,136202,0
MutexBased,256,1200000,1200000,220062,1
MutexBased,256,1200000,694505,133871,0
MutexBased,512,1200000,1200000,209284,1
MutexBased,512,1200000,766432,140908,0
MutexBased,1024,1200000,1200000,184175,1
MutexBased,1024,1200000,871333,138140,0
MutexBased,2048,1200000,1200000,195443,1
MutexBased,2048,1200000,910757,147847,0
MutexBased,4096,1200000,1200000,189128,1
MutexBased,4096,1200000,931871,144156,0
MutexBased,8192,1200000,1200000,177407,1
MutexBased,8192,1200000,952884,145146,0
MutexBased,256,1300000,1300000,243748,1
MutexBased,256,1300000,808973,153245,0
MutexBased,512,1300000,1300000,219971,1
MutexBased,512,1300000,868565,147271,0
MutexBased,1024,1300000,1300000,201608,1
MutexBased,1024,1300000,927372,138657,0
MutexBased,2048,1300000,1300000,206604,1
MutexBased,2048,1300000,967427,160013,0
MutexBased,4096,1300000,1300000,198115,1
MutexBased,4096,1300000,928658,138772,0
MutexBased,8192,1300000,1300000,180487,1
MutexBased,8192,1300000,1104166,156297,0
