type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,1500,4000,4000,2091,0
MutexBased,1600,4000,4000,1227,1
MutexBased,1600,4000,4000,1016,0
MutexBased,1700,4000,4000,803,1
MutexBased,1700,4000,4000,1105,0
MutexBased,1800,4000,4000,1228,1
MutexBased,1800,4000,4000,808,0
MutexBased,1900,4000,4000,877,1
MutexBased,1900,4000,4000,823,0
MutexBased,2000,4000,4000,944,1
MutexBased,2000,4000,3760,663,0
MutexBased,100,5000,5000,1133,1
MutexBased,100,5000,3666,888,0
MutexBased,200,5000,5000,1272,1
MutexBased,200,5000,1004,411,0
MutexBased,300,5000,5000,1266,1
MutexBased,300,5000,2771,681,0
MutexBased,400,5000,5000,1157,1
MutexBased,400,5000,5000,1435,0
MutexBased,500,5000,5000,1085,1
MutexBased,500,5000,4800,1072,0
MutexBased,600,5000,5000,1005,1
MutexBased,600,5000,1202,337,0
MutexBased,700,5000,5000,1747,1
MutexBased,700,5000,3349,683,0
MutexBased,800,5000,5000,796,1
MutexBased,800,5000,3764,826,0
MutexBased,900,5000,5000,1019,1
MutexBased,900,5000,3358,638,0
MutexBased,1000,5000,5000,910,1
MutexBased,1000,5000,5000,941,0
MutexBased,1100,5000,5000,822,1
MutexBased,1100,5000,5000,1355,0
MutexBased,1200,5000,5000,1118,1
MutexBased,1200,5000,4400,588,0
MutexBased,1300,5000,5000,1097,1
MutexBased,1300,5000,5000,854,0
MutexBased,1400,5000,5000,1406,1
MutexBased,1400,5000,5000,1138,0
MutexBased,1500,5000,5000,856,1
MutexBased,1500,5000,3287,610,0
MutexBased,1600,5000,5000,894,1
MutexBased,1600,5000,3721,737,0
MutexBased,1700,5000,5000,1134,1
MutexBased,1700,5000,5000,784,0
MutexBased,1800,5000,5000,739,1
MutexBased,1800,5000,3265,389,0
MutexBased,1900,5000,5000,905,1
MutexBased,1900,5000,2144,263,0
MutexBased,2000,5000,5000,1215,1
MutexBased,2000,5000,5000,812,0
MutexBased,100,6000,6000,1066,1
MutexBased,100,6000,4969,957,0
MutexBased,200,6000,6000,920,1
MutexBased,200,6000,199,167,0
MutexBased,300,6000,6000,1043,1
